"How many member states does the Commonwealth have?<br><br>53<br>27<br>5<br>190"	"53"	"The Queen is the ceremonial head of the Commonwealth, which currently has 53 member states."	"Life in the UK"	
"How many countries make up the EU?<br><br>28<br>190<br>15<br>54"	"28"	"The European Union (EU), originally called the European Economic Community (EEC), was set up by six western European countries (Belgium, France, Germany, Italy, Luxembourg and the Netherlands) who signed the Treaty of Rome on 25 March 1957. The UK originally decided not to join this group but it became a member in 1973. There are now 28 EU member states"	"Life in the UK"	
"The Queen is responsible for the opening of the new parliamentary session each year<br><br>False<br>True"	"True"	"The Queen has important ceremonial roles, such as the opening of the new parliamentary session each year. On this occasion the Queen makes a speech which summarises the government’s policies for the year ahead. All Acts of Parliament are made in her name."	"Life in the UK"	
"During Queen Elizabeth I’s reign the English (1588) defeated a large fleet of ships. Where did the ships come from?<br><br>Spain and France<br>France<br>Netherlands<br>Spain"	"Spain"	"Elizabeth became one of the most popular monarchs in English history, particularly after 1588, when the English defeated the Spanish Armada (a large fleet of ships), which had been sent by Spain to conquer England and restore Catholicism."	"Life in the UK"	
"How long is the longest straight distance on the mainland?<br><br>845 miles<br>1006 miles<br>896 miles<br>870 miles"	"870 miles"	"The longest distance on the mainland is from John O’Groats on the north coast of Scotland to Land’s End in the south-west corner of England. It is about 870 miles (approximately 1,400 kilometres)."	"Life in the UK"	
"First professional football clubs were formed in the late 19th century<br><br>False<br>True"	"True"	"It’s True. The first professional football clubs were formed in the late 19th century."	"Life in the UK"	
"What created The Kingdom of Great Britain in 1707?<br><br>The act of Government of Wales<br>The Act of Union<br>The Bill of Rights<br>The Kingdom Act"	"The Act of Union"	"The Act of Union, known as the Treaty of Union in Scotland, was agreed in 1707, creating the Kingdom of Great Britain."	"Life in the UK"	
"Areas of what is now Scotland were never conquered by the Romans<br><br>True<br>False"	"True"	"Areas of what is now Scotland were never conquered by the Romans, and the Emperor Hadrian built a wall in the north of England to keep out the Picts (ancestors of the Scottish people)."	"Life in the UK"	
"The process ‘Highland Clearances’ happened due to rebellion of slaves<br><br>False<br>True"	"False"	"A process began which became known as the ‘Highland Clearances’. Many Scottish landlords destroyed individual small farms (known as ‘crofts’) to make space for large flocks of sheep and cattle. Evictions became very common in the early 19th century. Many Scottish people left for North America at this time."	"Life in the UK"	
"Who mapped the coast of Australia?<br><br>Admiral Nelson<br>James Cook<br>Sir Francis Drake<br>Sir Francis George"	"James Cook"	"Captain James Cook mapped the coast of Australia and a few colonies were established there. Britain gained control over Canada, and the East India Company, originally set up to trade, gained control of large parts of India."	"Life in the UK"	
"Which Patron Saint day is on the 17th of March?<br><br>St Patrick<br>St George<br>St Andrew<br>St David"	"St Patrick"	"England, Scotland, Wales and Northern Ireland each have a national saint, called a patron saint. Each saint has a special day:"	"Life in the UK"	
"Since the Middle Ages, when did the first Jews come to Britain to settle in London?<br><br>1656<br>1680<br>1652<br>1646"	"1656"	"The first Jews to come to Britain since the Middle Ages settled in London in 1656."	"Life in the UK"	
"What % of the UK population does Wales account for?<br><br>5<br>7<br>3<br>4"	"5"	"Around 5% of the UK population lives in Wales."	"Life in the UK"	
"Clans lost a lot of their power and influence after which event?<br><br>The Battle of Culloden<br>The Battle of Trafalgar<br>The Battle of Aggincourt<br>The Crimean War"	"The Battle of Culloden"	"The clans lost a lot of their power and influence after the Battle of Culloden (1746). Chieftains became landlords if they had the favour of the English king, and clansmen became tenants who had to pay for the land they used."	"Life in the UK"	
"Puritans are a group of Catholics who advocate complex religious doctrine and worship<br><br>False<br>True"	"False"	"Puritans, a group of Protestants who advocated strict and simple religious doctrine and worship."	"Life in the UK"	
"The Corn Laws were repealed in 1846. This had prevented the import of cheap grain<br><br>True<br>False"	"True"	"The statement is true."	"Life in the UK"	
"Names of places, such as Grimsby and Scunthorpe come from which language?<br><br>Saxon<br>Norman<br>Viking<br>Celtic"	"Viking"	"Many places names, such as Grimsby and Scunthorpe, come from the Viking languages"	"Life in the UK"	
"Which ship was one of the first to circumnavigate the world?<br><br>Golden Hind<br>HMS Victory<br>Royal Yacht Britannia<br>The Ship of Royals"	"Golden Hind"	"Sir Francis Drake, one of the commanders in the defeat of the Spanish Armada, was one of the founders of England’s naval tradition. His ship, the Golden Hind, was one of the first to sail right around (‘circumnavigate’) the world."	"Life in the UK"	
"Mary Stuart (also known as ‘Mary, Queen of Scots’) fled to England. She was suspected of trying to take over the throne and was kept a prisoner for 20 years<br><br>False<br>True"	"True"	"The statement is true."	"Life in the UK"	
"What county does Stonehenge stand in?<br><br>Wiltshire<br>Lincolnshire<br>Dorset<br>Lothians"	"Wiltshire"	"Stonehenge still stands in what is now the English county of Wiltshire. Stonehenge was probably a special gathering place for seasonal ceremonies."	"Life in the UK"	
"Which TWO of these aircrafts were used by Britain in WWII?<br><br>Spitfire<br>Hurricane<br>Mig-21<br>F-22"	"Spitfire<br>Hurricane"	"The most important planes used by the Royal Air Force in the Battle of Britain(1940) were the Spitfire and the Hurricane – which were designed and built in Britain."	"Life in the UK"	
"What country is Swansea in?<br><br>Northern Ireland<br>Wales<br>Scotland<br>England"	"Wales"	"Swansea is a Welsh city."	"Life in the UK"	
"Who took the title ‘King of Ireland’?<br><br>James VI<br>Charles II<br>Henry VIII<br>Henry VII"	"Henry VIII"	"Henry VII and Henry VIII had extended English control outside the Pale. Henry VIII took the title ‘King of Ireland’ and English laws were introduced."	"Life in the UK"	
"Which TWO materials did the UK produce more than half of the world in the 19th century?<br><br>Cotton Cloth<br>Iron<br>Potatoes<br>Bronze"	"Cotton Cloth<br>Iron"	"British industry led the world in the 19th century. The UK produced more than half of the world’s iron, coal and cotton cloth."	"Life in the UK"	
"Where did the Jutes come from?<br><br>Central Europe<br>Northern Europe<br>Southern Europe<br>East Europe"	"Northern Europe"	"Britain was invaded by tribes from northern Europe: the Jutes, the Angles and the Saxons. The languages they spoke are the basis of modern-day English."	"Life in the UK"	
"In which year was the first Union Flag created?<br><br>1606<br>1707<br>1800<br>1801"	"1606"	"The Welsh dragon does not appear on the Union Flag because, when the first Union Flag was created in 1606 from the flags of Scotland and England, the Principality of Wales was already united with England."	"Life in the UK"	
"Who requested to write The Domesday book?<br><br>Edward I<br>King Alfred the Great<br>Kenneth Macalpin<br>William the Conqueror"	"William the Conqueror"	"William sent people all over England to draw up lists of all the towns and villages. The people who lived there, who owned the land and what animals they owned were also listed. This was called the Domesday Book. It still exists today and gives a picture of society in England just after the Norman Conquest."	"Life in the UK"	
